municipality_code,municipality_name,PL=0,0<PL≤5,5<PL≤15,PL>15,No data,Total
13101,千代田区,1,17,16,1,9,35
13102,中央区,0,6,16,1,67,23
13103,港区,2,13,23,2,12,40
13104,新宿区,34,51,66,0,105,151
13105,文京区,0,26,24,0,42,50
13106,台東区,0,39,42,25,33,106
13107,墨田区,0,6,70,31,8,107
13108,江東区,0,1,9,1,388,11
13109,品川区,2,4,6,0,2,12
13110,目黒区,6,2,3,0,22,11
13111,大田区,2,15,16,3,2,36
13112,世田谷区,7,5,4,0,25,16
13113,渋谷区,5,1,2,0,23,8
13114,中野区,3,9,0,0,10,12
13115,杉並区,9,3,2,0,89,14
13116,豊島区,3,5,7,0,144,15
13118,荒川区,0,0,1,0,1,1
13119,板橋区,0,0,2,0,1,2
13120,練馬区,0,2,0,0,0,2
13121,足立区,0,0,1,0,0,1
13122,葛飾区,0,0,1,5,212,6
13123,江戸川区,0,0,2,1,239,3
13201,八王子市,1,2,0,0,12,3
13204,三鷹市,3,8,9,0,6,20
13205,青梅市,5,1,2,0,33,8
13206,府中市,1,1,1,0,6,3
13207,昭島市,1,3,0,0,0,4
13208,調布市,19,7,0,0,44,26
13209,町田市,0,1,0,0,4,1
13210,小金井市,2,1,0,0,39,3
13211,小平市,0,1,0,0,19,1
13212,日野市,3,3,0,0,1,6
13213,東村山市,20,13,0,0,13,33
13214,国分寺市,3,0,0,0,42,3
13215,国立市,18,1,0,0,64,19
13218,福生市,11,1,0,0,3,12
13219,狛江市,0,0,1,0,15,1
13220,東大和市,4,1,0,0,25,5
13221,清瀬市,0,0,1,0,1,1
13222,東久留米市,1,1,1,0,93,3
13223,武蔵村山市,1,0,0,0,0,1
13224,多摩市,1,3,2,0,2,6
13227,羽村市,3,0,0,0,1,3
13228,あきる野市,24,8,6,0,95,38
13229,西東京市,0,6,0,0,4,6
13305,日の出町,0,0,1,0,0,1
13363,新島村,0,1,0,0,5,1
