risk_type,risk_type_ja,scenario,hazard_key,affected_record_count
fire,延焼危険度,延焼危険度,延焼危険度｜延焼危険度,69
landslide,土砂災害,PLATEAU建築物リスク,土砂災害｜PLATEAU建築物リスク,1
landslide,土砂災害,土砂災害警戒区域,土砂災害｜土砂災害警戒区域,2
liquefaction,液状化,南海トラフ巨大地震,液状化｜南海トラフ巨大地震,2
liquefaction,液状化,多摩東部直下地震,液状化｜多摩東部直下地震,8
liquefaction,液状化,大正関東地震,液状化｜大正関東地震,7
liquefaction,液状化,立川断層帯地震,液状化｜立川断層帯地震,1
liquefaction,液状化,都心南部直下地震,液状化｜都心南部直下地震,8
river_flooding,河川浸水,,河川浸水｜河川浸水,46
river_flooding,河川浸水,L1（計画規模）,河川浸水｜L1（計画規模）,2
river_flooding,河川浸水,L2（想定最大規模）,河川浸水｜L2（想定最大規模）,14
river_flooding,河川浸水,想定最大規模,河川浸水｜想定最大規模,13
seismic,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震,69
seismic,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震,69
seismic,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震,69
seismic,想定震度,大正関東地震,想定震度｜大正関東地震,69
seismic,想定震度,立川断層帯地震,想定震度｜立川断層帯地震,69
seismic,想定震度,都心南部直下地震,想定震度｜都心南部直下地震,69
seismic,想定震度,都心東部直下地震,想定震度｜都心東部直下地震,69
seismic,想定震度,都心西部直下地震,想定震度｜都心西部直下地震,69
